                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8106,                 1.2564,                0.98798,                0.60332,                0.56863,                0.53444,                0.19501,                 2.1426,                 1.4446,                 1.1241,               0.006733,               0.006733,               0.006733
                     35,                 1.8293,                 1.2472,                 1.0178,                0.61874,                0.54902,                 0.5887,                0.22315,                 2.1157,                 1.3291,                 1.1151,               0.006634,               0.006634,               0.006634
                     36,                 1.8031,                  1.215,                 1.0048,                 0.6657,                0.54412,                0.55613,                0.20126,                  2.277,                 1.3663,                 1.1463,               0.006535,               0.006535,               0.006535
                     37,                 1.7305,                 1.2179,                0.97494,                0.69172,                0.56373,                0.57773,                0.24519,                 2.0358,                 1.3209,                 1.0871,               0.006436,               0.006436,               0.006436
                     38,                 1.7867,                 1.2237,                 1.0057,                 0.6403,                0.61275,                0.58102,                0.23502,                 2.1059,                 1.3141,                 1.1215,               0.006337,               0.006337,               0.006337
                     39,                 1.8505,                 1.2843,                0.98871,                0.64621,                0.66257,                0.59871,                0.24103,                 1.9662,                 1.3931,                 1.0695,               0.006238,               0.006238,               0.006238
                     40,                 1.7655,                 1.2226,                 0.9945,                0.75043,                0.60294,                 0.6705,                 0.2959,                 1.8737,                 1.3192,                 1.0482,               0.006139,               0.006139,               0.006139
                     41,                 1.7773,                 1.2279,                 0.9959,                0.67798,                0.58824,                0.60134,                0.25457,                 1.9353,                 1.2815,                 1.0564,                0.00604,                0.00604,                0.00604
                     42,                 1.7138,                 1.1683,                 0.9919,                0.66376,                0.54902,                0.55971,                0.22468,                 2.2012,                 1.2837,                 1.1378,               0.005941,               0.005941,               0.005941
                     43,                 1.7908,                 1.1872,                0.99462,                0.70812,                0.53922,                0.58041,                0.23637,                 2.0774,                 1.2811,                 1.0953,               0.005842,               0.005842,               0.005842
                     44,                 1.8105,                  1.195,                 1.0247,                0.68875,                0.55321,                0.58976,                0.23677,                 2.0414,                 1.5062,                  1.084,               0.005743,               0.005743,               0.005743
                     45,                 1.7651,                 1.2138,                 1.0006,                0.63907,                0.56373,                0.56075,                0.23206,                 2.0266,                 1.3369,                 1.0807,               0.005644,               0.005644,               0.005644
                     46,                 1.6998,                 1.1598,                 0.9683,                0.66719,                0.55032,                0.55958,                0.22081,                 2.1125,                 1.3123,                 1.1044,               0.005545,               0.005545,               0.005545
                     47,                 1.7788,                 1.1969,                0.99933,                0.68405,                0.55882,                0.59577,                0.23234,                 2.0105,                 1.2792,                 1.0744,               0.005446,               0.005446,               0.005446
                     48,                 1.7004,                 1.1245,                0.99992,                 0.6864,                0.57353,                0.61624,                0.24486,                 2.0375,                 1.2884,                 1.0902,               0.005347,               0.005347,               0.005347
                     49,                 1.7045,                 1.1656,                0.98739,                0.68751,                0.53431,                0.57368,                0.20423,                 2.2122,                 1.2843,                 1.1315,               0.005248,               0.005248,               0.005248
                     50,                 1.6846,                 1.1123,                0.98112,                0.64516,                0.56151,                0.56696,                0.20855,                 2.2241,                 1.2939,                 1.1429,               0.005149,               0.005149,               0.005149
                     51,                 1.6621,                 1.0673,                0.97302,                0.65926,                0.62745,                0.64348,                 0.2389,                 2.1744,                 1.2051,                 1.1278,                0.00505,                0.00505,                0.00505
                     52,                 1.6361,                 1.1033,                0.96779,                0.73529,                0.55828,                 0.6201,                0.25319,                 2.1092,                 1.2227,                 1.1013,               0.004951,               0.004951,               0.004951
                     53,                 1.7725,                 1.1216,                 1.0502,                0.61996,                0.62255,                0.60206,                0.23485,                 2.1082,                 1.2688,                 1.1129,               0.004852,               0.004852,               0.004852
                     54,                 1.6627,                 1.0769,                0.97556,                0.66459,                 0.5925,                0.60587,                0.23098,                 2.1396,                 1.2527,                 1.1265,               0.004753,               0.004753,               0.004753
                     55,                 1.6301,                 1.0691,                0.94915,                0.72948,                0.58164,                0.64543,                0.26436,                 2.0639,                 1.2106,                 1.1126,               0.004654,               0.004654,               0.004654
                     56,                 1.7009,                 1.1004,                0.98202,                0.61742,                0.66667,                0.64283,                 0.2696,                 2.0375,                  1.267,                 1.1045,               0.004555,               0.004555,               0.004555
                     57,                 1.6376,                 1.0616,                0.96607,                0.65688,                0.51616,                0.55282,                0.20461,                 2.1625,                  1.332,                 1.1207,               0.004456,               0.004456,               0.004456
                     58,                 1.6156,                 1.0333,                0.96434,                 0.6657,                0.58824,                0.62387,                0.24476,                 2.0817,                 1.2199,                 1.1176,               0.004357,               0.004357,               0.004357
                     59,                 1.5973,                 1.0628,                  0.954,                0.65222,                0.61593,                0.66567,                 0.2879,                 1.9511,                 1.1781,                   1.08,               0.004258,               0.004258,               0.004258
                     60,                 1.7134,                 1.0546,                0.96613,                0.65188,                 0.6242,                0.62971,                0.26463,                 2.0542,                 1.1879,                 1.1056,               0.004159,               0.004159,               0.004159
